asset_type,route,source_file,slug,source_title_not_verified_claim,source_date,source_status,source_draft,source_published,program_group,review_status,indexing_policy,owner_role,verification_reference,inventory_date
blog,/blog/ai-after-hours-call-handling,apps/web/content/blog/ai-after-hours-call-handling.md,ai-after-hours-call-handling,AI After-Hours Call Handling: Never Lose a Lead Outside Business Hours,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-billing-payment-calls,apps/web/content/blog/ai-billing-payment-calls.md,ai-billing-payment-calls,AI for Billing Inquiries and Payment Processing Calls,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-collection-calls-complete-guide,apps/web/content/blog/ai-collection-calls-complete-guide.md,ai-collection-calls-complete-guide,AI Collection Calls: How Voice AI Is Transforming Debt Recovery (2026),2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-customer-surveys-nps-calls,apps/web/content/blog/ai-customer-surveys-nps-calls.md,ai-customer-surveys-nps-calls,AI for Customer Surveys and NPS Calls: Get 5x More Responses by Phone,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-insurance-claims-processing-calls,apps/web/content/blog/ai-insurance-claims-processing-calls.md,ai-insurance-claims-processing-calls,AI for Insurance Claims Processing: Automate FNOL and Status Calls,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-medical-scheduling-voice-agents,apps/web/content/blog/ai-medical-scheduling-voice-agents.md,ai-medical-scheduling-voice-agents,AI for Medical Scheduling: How Voice Agents Reduce No-Shows and Wait Times,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-meeting-scheduler-voice-automation,apps/web/content/blog/ai-meeting-scheduler-voice-automation.md,ai-meeting-scheduler-voice-automation,AI Meeting Scheduler: How Voice AI Automates Calendar Management (2026),2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-patient-intake-pre-visit-calls,apps/web/content/blog/ai-patient-intake-pre-visit-calls.md,ai-patient-intake-pre-visit-calls,AI for Patient Intake and Pre-Visit Calls: Streamline Healthcare Onboarding,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-phone-answering-service-small-business,apps/web/content/blog/ai-phone-answering-service-small-business.md,ai-phone-answering-service-small-business,AI Phone Answering Service for Small Business: A Practical Guide,2026-03-19,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-phone-answering-service-small-business.md evidenceReview,2026-09-06
blog,/blog/ai-virtual-assistant-for-business,apps/web/content/blog/ai-virtual-assistant-for-business.md,ai-virtual-assistant-for-business,AI Virtual Assistant for Business: What It Is and How to Deploy One (2026),2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agent-security-data-privacy,apps/web/content/blog/ai-voice-agent-security-data-privacy.md,ai-voice-agent-security-data-privacy,AI Voice Agent Security and Data Privacy: A Buyer's Checklist,2026-03-19,,false,true,selected_initial_12,source_reviewed_local_verified,indexable_after_deployment_while_review_valid,Content owner,verification-2026-09-06.md; apps/web/content/blog/ai-voice-agent-security-data-privacy.md evidenceReview,2026-09-06
blog,/blog/ai-voice-agent-vs-call-center-bpo,apps/web/content/blog/ai-voice-agent-vs-call-center-bpo.md,ai-voice-agent-vs-call-center-bpo,AI Voice Agents vs. Call Center Outsourcing (BPO): The Complete Cost and Quality Comparison,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agents-accounting-tax-firms,apps/web/content/blog/ai-voice-agents-accounting-tax-firms.md,ai-voice-agents-accounting-tax-firms,AI Voice Agents for Accounting and Tax Firms: Handle Tax Season Without Burnout,2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
blog,/blog/ai-voice-agents-beauty-salons-spas,apps/web/content/blog/ai-voice-agents-beauty-salons-spas.md,ai-voice-agents-beauty-salons-spas,"AI Voice Agents for Beauty Salons and Spas: Book More Appointments, Reduce No-Shows",2026-03-19,,false,true,backlog,pending_evidence_review,noindex_until_review,Content owner,,2026-09-06
