program_day,week,action,owner_role,working_asset,prerequisite,completion_evidence,execution_status,actual_date,evidence_url_or_note
1,1,Set campaign start date and named owners; capture deployment version and baseline coverage; verify enquiry-success tracking,SEO + analytics owner,README.md; source-status.md,Read access and consistent filters,Named owners plus observed success-event name/date and baseline export references,scheduled_not_executed,,
2,1,Check sources and linked workflow for free-ai-appointment-scheduling-tools; review marketing routes 1-3 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
3,1,Publish or verify deployed revision of /blog/free-ai-appointment-scheduling-tools; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
4,1,Prepare/use owned-channel post 01; evaluate distribution opportunities 01-02,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
5,1,Review backlog blog batch 1-6; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
6,1,Review backlog blog batch 7-12 and scenario batch 1-5; dry-run cost worksheet with approved internal inputs,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; cost-estimation.csv,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
7,1,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
8,2,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
9,2,Check sources and linked workflow for best-ai-voice-agent-platforms-2026; review marketing routes 4-6 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
10,2,Publish or verify deployed revision of /blog/best-ai-voice-agent-platforms-2026; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
11,2,Prepare/use owned-channel post 02; evaluate distribution opportunities 03-04,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
12,2,Review backlog blog batch 13-18; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
13,2,Review backlog blog batch 19-24 and scenario batch 6-10; rehearse walkthrough using synthetic data,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; walkthrough-script.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
14,2,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
15,3,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
16,3,Check sources and linked workflow for ai-appointment-scheduling-guide; review marketing routes 7-9 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
17,3,Publish or verify deployed revision of /blog/ai-appointment-scheduling-guide; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
18,3,Prepare/use owned-channel post 03; evaluate distribution opportunities 05-06,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
19,3,Review backlog blog batch 25-30; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
20,3,Review backlog blog batch 31-36 and scenario batch 11-15; record and review walkthrough only after actual test path works,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; walkthrough-script.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
21,3,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
22,4,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
23,4,Check sources and linked workflow for ai-phone-answering-service-small-business; review marketing routes 10-12 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
24,4,Publish or verify deployed revision of /blog/ai-phone-answering-service-small-business; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
25,4,Prepare/use owned-channel post 04; evaluate distribution opportunities 07-08,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
26,4,Review backlog blog batch 37-42; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
27,4,Review backlog blog batch 43-48 and scenario batch 16-20; review opt-in source and final nurture attachments without sending,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md; nurture-drafts.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
28,4,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
29,5,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
30,5,Day 30 outcome review: compare complete periods; assess enquiries qualified opportunities reviewed inventory distribution and story blockers,Marketing + analytics + sales lead,README.md; inventory.csv; distribution-opportunities.csv,Comparable date windows and verified event definitions,Dated report with raw counts rates coverage and next-month decisions,scheduled_not_executed,,
31,5,Publish or verify deployed revision of /blog/automated-appointment-reminders-guide; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
32,5,Prepare/use owned-channel post 05; evaluate distribution opportunities 09-10,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
33,5,Review backlog blog batch 49-54; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
34,5,Review backlog blog batch 55-60 and scenario batch 21-25,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
35,5,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
36,6,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
37,6,Check sources and linked workflow for ai-voice-agents-reduce-customer-support-costs; review marketing routes 16-18 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
38,6,Publish or verify deployed revision of /blog/ai-voice-agents-reduce-customer-support-costs; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
39,6,Prepare/use owned-channel post 06; evaluate distribution opportunities 11-12,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
40,6,Review backlog blog batch 61-66; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
41,6,Review backlog blog batch 67-72 and scenario batch 26-30,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,Individual decisions and customer evidence blockers recorded,scheduled_not_executed,,
42,6,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
43,7,Review previous complete week GSC pages/queries and GA source-medium plus verified enquiry events; reconcile lead quality,SEO + analytics owner,source-status.md,Read access and consistent filters,Dated weekly snapshot with counts coverage caveats and one prioritized action,scheduled_not_executed,,
44,7,Check sources and linked workflow for ai-voice-agents-b2b-lead-qualification; review marketing routes 19-21 from inventory,Content editor + engineer,inventory.csv,Final article draft and current implementation,Review references recorded per route; unresolved claims stay pending,scheduled_not_executed,,
45,7,Publish or verify deployed revision of /blog/ai-voice-agents-b2b-lead-qualification; check canonical robots references and related commercial links,Web + content owner,keyword-map.csv,Destination evidence review passed and publication authorized,Live URL plus verified rendered metadata and actual release date,scheduled_not_executed,,
46,7,Prepare/use owned-channel post 07; evaluate distribution opportunities 13-14,Marketing / outreach owner,promotional-drafts.md; distribution-opportunities.csv,Article live; account and explicit sending authorization; channel rules met,Actual post/submission URLs or documented reason held; no invented outreach status,scheduled_not_executed,,
47,7,Review backlog blog batch 73-78; record retain/rewrite/consolidate/archive decisions,Content editor,inventory.csv,Current sources for each claim; retain noindex pending review,Up to six individual rows with decision and evidence,scheduled_not_executed,,
48,7,Review remaining scenario batch31-33; reconcile the completed78-blog decision list; progress a customer-story evidence request only if authorized,Content editor + customer evidence owner,inventory.csv; customer-story-templates.md,No scenario promoted to proof without real evidence,33 scenario decisions and78 backlog-blog decisions recorded; any evidence request remains unsent unless authorized,scheduled_not_executed,,
49,7,Hold content/sales review; inspect replies only from authorized outreach; improve next week based on objections and failures,Marketing + sales + product owner,README.md,Actual observations; no reply or result invented,Decision notes and owner for next action,scheduled_not_executed,,
