priority,window,work,owner_role,status,dependency,acceptance_evidence
P0,Release,Review and release API then web with staged attribution flag,Engineering,implemented_local_not_deployed,Branch review and healthy compatible receiver,Release revision and live smoke results; flag activation recorded
P0,Release,Register generate_lead and CTA/form custom dimensions,Analytics administrator,blocked_edit_access,Authorized analytics.edit credential and property permissions,Read-after-write verified registrations; separate collection check
P0,Release,Verify one marked production enquiry and inbox placement,Engineering and sales,pending_release,Authorized live QA with test exclusion,One delivery receipt plus inbox evidence; failed delivery does not count
P0,Week 1,Reconcile confirmed enquiries bookings qualification and opportunities,Sales and growth operations,tool_prepared_records_required,Private inbox calendar and sales exports; verified identity mapping,Opaque scorecard with unknown source and test exclusions; no CTA counted as booking
P0,Week 1,Verify candidate sitemap and stale indexing recovery targets,SEO and engineering,pending_release,100-URL candidate deployed,Canonical robots and sitemap check; dated GSC inspection after recrawl; no indexing guarantee
P1,Weeks 1-2,Release nine contextual article journeys and related-guide curation,Content and engineering,implemented_local_not_deployed,Reviewed destinations and branch release,Real article-to-commercial links render and stay review-gated
P1,Weeks 1-2,Release QuickVoice vs Vapi comparison,Content and product,source_reviewed_local_not_deployed,Final current sources and branch release,Reviewed content hash; self-canonical indexable page; no invented migration or test claims
P1,Weeks 1-2,Release ownership pricing scheduling and property-management clarity,Product marketing and engineering,implemented_local_not_deployed,Product review and branch release,Accurate workflow boundaries and working worksheet/contact paths
P1,Weekly,Capture complete US GSC and GA cohorts and inspect business outcomes,Growth operations,tool_prepared_not_scheduled,Secure read credentials and private output location,Dated report with coverage warnings and one prioritized action; qualified counts independently reconciled
P1,Weeks 2-4,Deepen scheduling guide using observed query intent and real workflow evidence,Content and product,scheduled,Post-release query review and supported calendar behavior,One focused update with sources; query-page comparison and enquiry quality reviewed
P1,Weeks 2-4,Evaluate IVR and multilingual commercial journeys,SEO and product,scheduled,Relevant US queries and pilot-language/fallback evidence,Query-level decision; no Mandarin or global demand treated as US demand
P1,Weeks 3-6,Record one bounded synthetic-data workflow demonstration,Product and content,scheduled_evidence_required,Working setup; recording and publication review,Real recording shows prerequisites failure handling and limits; no fabricated customer result
P1,Weeks 3-8,Request a permissioned customer story with measured scope,Customer success,blocked_customer_evidence,Real customer permission and defensible before/after data,Approved evidence-backed story or documented blocker; scenario stays illustrative
P2,Release,Review Synthflow comparison at publication time,Content and product,source_reviewed_local_not_deployed,Final release and live verification,September 18 publication review in completion-2026-09-18.md; exact review fingerprint; original date preserved
P2,Weeks 4-12,Distribute proven relevant guides to suitable communities and channels,Growth and partnerships,scheduled_not_sent,Live destination; account access and channel rules; appropriate sending authorization,Actual post or submission record and outcome; no paid placement or invented backlink
P1,Days 30 60 and 90,Review cohort quality and decide which clusters to expand,Growth lead and sales,scheduled,Complete comparable data and actual qualified business records,Counts plus coverage; documented continue narrow or pause decisions; no small-sample certainty
